item,time,adopters
archive,2026-05-24 06:00:00+00:00,0
archive,2026-05-24 07:00:00+00:00,0
archive,2026-05-24 08:00:00+00:00,0
archive,2026-05-24 09:00:00+00:00,0
archive,2026-05-24 10:00:00+00:00,0
archive,2026-05-24 11:00:00+00:00,0
archive,2026-05-24 12:00:00+00:00,0
archive,2026-05-24 13:00:00+00:00,0
archive,2026-05-24 14:00:00+00:00,0
archive,2026-05-24 15:00:00+00:00,0
archive,2026-05-24 16:00:00+00:00,0
archive,2026-05-24 17:00:00+00:00,0
archive,2026-05-24 18:00:00+00:00,0
archive,2026-05-24 19:00:00+00:00,0
archive,2026-05-24 20:00:00+00:00,0
archive,2026-05-24 21:00:00+00:00,0
archive,2026-05-24 22:00:00+00:00,0
archive,2026-05-24 23:00:00+00:00,0
archive,2026-05-25 00:00:00+00:00,0
archive,2026-05-25 01:00:00+00:00,0
archive,2026-05-25 02:00:00+00:00,0
archive,2026-05-25 03:00:00+00:00,0
archive,2026-05-25 04:00:00+00:00,0
archive,2026-05-25 05:00:00+00:00,0
archive,2026-05-25 06:00:00+00:00,0
archive,2026-05-25 07:00:00+00:00,0
archive,2026-05-25 08:00:00+00:00,0
archive,2026-05-25 09:00:00+00:00,0
archive,2026-05-25 10:00:00+00:00,0
archive,2026-05-25 11:00:00+00:00,0
archive,2026-05-25 12:00:00+00:00,0
archive,2026-05-25 13:00:00+00:00,0
archive,2026-05-25 14:00:00+00:00,0
archive,2026-05-25 15:00:00+00:00,0
archive,2026-05-25 16:00:00+00:00,0
archive,2026-05-25 17:00:00+00:00,0
archive,2026-05-25 18:00:00+00:00,0
archive,2026-05-25 19:00:00+00:00,0
archive,2026-05-25 20:00:00+00:00,0
archive,2026-05-25 21:00:00+00:00,0
archive,2026-05-25 22:00:00+00:00,0
archive,2026-05-25 23:00:00+00:00,0
archive,2026-05-26 00:00:00+00:00,0
archive,2026-05-26 01:00:00+00:00,0
archive,2026-05-26 02:00:00+00:00,0
archive,2026-05-26 03:00:00+00:00,0
archive,2026-05-26 04:00:00+00:00,0
archive,2026-05-26 05:00:00+00:00,0
archive,2026-05-26 06:00:00+00:00,0
archive,2026-05-26 07:00:00+00:00,0
archive,2026-05-26 08:00:00+00:00,0
archive,2026-05-26 09:00:00+00:00,0
archive,2026-05-26 10:00:00+00:00,0
archive,2026-05-26 11:00:00+00:00,0
archive,2026-05-26 12:00:00+00:00,0
archive,2026-05-26 13:00:00+00:00,0
archive,2026-05-26 14:00:00+00:00,0
archive,2026-05-26 15:00:00+00:00,0
archive,2026-05-26 16:00:00+00:00,0
archive,2026-05-26 17:00:00+00:00,0
archive,2026-05-26 18:00:00+00:00,0
archive,2026-05-26 19:00:00+00:00,0
archive,2026-05-26 20:00:00+00:00,0
archive,2026-05-26 21:00:00+00:00,0
archive,2026-05-26 22:00:00+00:00,0
archive,2026-05-26 23:00:00+00:00,0
archive,2026-05-27 00:00:00+00:00,0
archive,2026-05-27 01:00:00+00:00,0
archive,2026-05-27 02:00:00+00:00,0
archive,2026-05-27 03:00:00+00:00,0
archive,2026-05-27 04:00:00+00:00,0
archive,2026-05-27 05:00:00+00:00,0
archive,2026-05-27 06:00:00+00:00,0
archive,2026-05-27 07:00:00+00:00,0
archive,2026-05-27 08:00:00+00:00,0
archive,2026-05-27 09:00:00+00:00,0
archive,2026-05-27 10:00:00+00:00,0
archive,2026-05-27 11:00:00+00:00,0
archive,2026-05-27 12:00:00+00:00,0
archive,2026-05-27 13:00:00+00:00,0
archive,2026-05-27 14:00:00+00:00,0
archive,2026-05-27 15:00:00+00:00,0
archive,2026-05-27 16:00:00+00:00,0
archive,2026-05-27 17:00:00+00:00,0
archive,2026-05-27 18:00:00+00:00,0
archive,2026-05-27 19:00:00+00:00,0
archive,2026-05-27 20:00:00+00:00,0
archive,2026-05-27 21:00:00+00:00,0
archive,2026-05-27 22:00:00+00:00,0
